RT
296.2
72.0
168.4
199.1
41.5
48.5
92.0
115.1
242.8
274.6
156.8
40.3
128.9
161.9
134.0
125.4
140.0
26.4
60.9
122.8
15.0
40.0
26.5
26.4
63.0
142.7
103.9
74.7
240.7
189.3
169.3
125.8
134.2
141.7
159.0
146.0
50.6
80.4
129.8
149.6
62.4
35.1
54.6
99.2
94.1
89.6
59.9
63.4
55.5
35.6
32.1
15.9
10.5
5.4
2.7
7.4
6.4
0.0
0.0
0.0
0.0
4.1
0.0
0.0
0.0
2.1
12.6
137.9
150.2
162.4
233.0
317.1
165.5
71.1
54.6
36.0
36.1
8.0
20.3
28.5
74.5
111.9
77.1
145.7
12.8
4.1
11.6
0.0
0.0
2.9
0.0
3.5
2.6
0.0
6.7
11.6
26.1
55.3
16.7
56.2
91.0
60.3
55.1
77.7
115.8
179.9
115.0
86.0
157.6
102.5
80.4
61.5
27.2
38.5
40.6
75.0
56.8
49.7
21.1
35.5
36.0
24.4
14.9
5.4
3.3
1.2
1.7
5.0
0.0
0.0
0.0
0.0
10.1
0.0
9.5
0.0
1.2
0.5
23.2
22.4
64.3
49.9
104.3
203.0
84.6
60.8
60.5
49.3
70.1
115.0
63.4
47.0
148.4
72.9
55.1
7.0
24.9
39.7
4.3
0.0
143.2
86.5
11.1
11.6
5.9
0.0
10.6
10.1
4.6
6.2
15.6
10.0
14.6
31.1
53.1
59.2
106.2
80.9
171.7
101.9
83.8
76.6
116.4
107.9
127.3
116.5
12.4
34.5
21.3
57.9
121.9
104.4
32.1
56.9
125.7
2.1
0.0
0.0
0.0
6.1
5.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
4.5
5.6
50.1
158.0
76.8
269.4
34.6
71.7
65.7
62.2
108.4
55.5
23.9
165.2
87.0
172.5
165.4
227.9
17.5
68.5
20.3
11.2
85.4
42.7
7.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.0
13.7
16.6
205.9
118.1
160.6
95.2
157.2
213.4
218.4
92.9
21.8
121.3
101.4
62.4
98.1
142.0
260.5
45.0
174.5
133.9
58.7
53.1
0.0
0.0
0.0
1.2
0.0
0.0
0.0
0.0
0.0
2.1
0.0
2.5
2.1
16.2
14.9
17.0
87.4
299.1
143.7
88.3
133.1
58.0
55.7
129.5
145.0
200.2
117.9
64.9
109.6
130.7
104.5
148.0
106.0
61.8
171.1
135.0
116.3
179.9
38.3
26.5
43.0
1.7
0.0
14.1
0.0
5.9
4.6
0.0
5.4
0.0
162.0
151.8
96.3
105.7
111.9
141.8
56.9
64.5
222.6
229.4
154.0
256.7
182.1
203.0
33.4
110.2
147.1
141.7
52.5
82.5
24.3
124.7
101.4
116.7
72.7
76.6
15.2
40.2
9.4
4.6
98.2
56.0
77.3
135.4
97.4
81.6
103.9
130.5
107.9
108.0
125.8
154.4
85.7
45.8
34.9
2.9
43.2
73.0
24.1
31.8
37.2
34.4
34.8
137.5
68.4
147.5
290.6
146.0
67.0
1.2
1.2
0.0
57.7
9.5
0.0
29.4
0.0
0.0
0.0
0.0
0.0
0.0
6.6
53.8
55.8
84.0
84.6
90.7
60.9
98.9
195.1
109.3
80.2
96.0
54.0
72.3
51.4
45.3
11.6
80.8
81.3
64.9
47.6
63.8
43.8
45.6
17.8
0.4
0.4
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
10.4
57.6
50.9
72.8
71.9
151.0
127.0
95.7
130.9
109.8
97.9
75.5
85.1
85.6
121.6
50.8
59.9
76.0
179.1
96.0
157.1
68.9
60.4
82.4
119.8
61.7
61.4
18.5
37.0
50.0
54.5
0.0
0.0
0.0
0.0
0.0
14.9
2.9
25.0
97.6
48.7
92.1
83.7
49.2
44.9
76.2
80.6
96.2
30.6
31.9
16.8
26.4
141.1
166.5
120.3
71.2
133.4
89.9
47.8
64.8
39.9
4.0
84.1
19.6
2.7
7.3
32.6
1.8
0.5
29.9
0.0
0.0
4.8
0.0
22.1
0.2
31.7
207.2
67.7
160.6
142.4
257.0
95.0
57.6
156.6
128.4
101.2
43.3
54.6
62.1
175.5
84.6
80.2
42.9
89.5
1.3
3.4
4.4
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
8.7
2.5
27.4
21.5
0.0
60.9
78.7
85.3
232.2
157.6
12.8
84.9
84.3
22.5
83.2
91.3
203.7
112.5
166.4
185.9
154.4
146.0
108.2
93.0
73.6
144.0
103.4
35.4
39.4
48.4
82.7
126.2
5.1
29.9
52.0
50.3
107.4
171.1
130.5
82.8
242.6
205.3
116.1
166.0
153.4
98.2
21.3
38.3
72.7
100.0
131.0
106.4
195.2
155.0
161.2
122.2
151.9
176.5
155.9
68.1
0.0
68.4
71.5
2.1
2.2
20.3
15.3
2.8
2.8
0.2
0.3
0.0
0.0
66.8
77.7
48.3
79.1
146.5
117.1
114.9
103.1
82.0
1.0
83.6
38.2
68.9
79.0
89.3
185.4
111.1
87.6
83.6
104.7
39.9
73.2
4.0
16.1
58.9
4.4
0.9
61.3
0.0
0.0
0.0
2.0
0.2
16.9
1.4
0.0
6.5
0.0
0.0
41.7
106.5
82.4
81.5
135.7
42.6
65.8
129.1
71.0
100.4
54.4
82.0
64.1
116.5
50.1
84.4
121.6
110.5
79.5
45.6
0.4
0.0
6.2
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
14.1
6.1
67.5
0.0
26.7
91.9
103.7
86.0
63.5
96.1
203.8
106.0
105.4
43.9
68.9
80.5
150.3
157.3
67.2
81.8
39.3
111.8
111.9
26.0
30.5
23.2
23.8
0.6
0.9
0.0
28.7
0.6
0.0
3.2
16.8
18.9
6.4
165.6
29.0
24.7
99.8
86.5
62.4
107.5
32.3
133.4
64.8
80.7
51.4
27.5
58.3
85.3
156.5
11.2
47.4
13.6
24.3
5.4
107.1
46.1
140.8
55.7
13.8
7.9
1.2
23.8
6.5
0.0
2.7
50.3
51.6
8.7
66.9
128.1
186.7
136.4
79.0
89.1
88.2
129.8
